"Login With Social Profile","Login With Social Profile"
"Linked Accounts","Linked Accounts"
"My Social Accounts","My Social Accounts"
"Unlink","Unlink"
"No Linked Accounts","No Linked Accounts"
"Account unlinked succesfully.","Account unlinked succesfully."
"An error occurred, please try again.","An error occurred, please try again."
"No link id provided","No link id provided"
"Please enter your email address below to create account.","Please enter your email address below to create account."
"Email","Email"
"Sign In","Sign In"
"Close","Close"
"Login with %type","Login with %type"
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"You have logged in via one of the social media platforms and a password was generated for you.If you want to log in with your email, update your account settings and reset your password","You have logged in via one of the social media platforms and a password was generated for you.If you want to log in with your email, update your account settings and reset your password"
"here","here"
"No link id provided","No link id provided"
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"No link id provided.","No link id provided."
"An error occurred, please try again.","An error occurred, please try again."
